RUB:Russian Ruble:Russia, Abkhazia, South Ossetia
USD:US Dollar:American Samoa, British Indian Ocean Territory, Ecuador, El Salvador, Guam, Haiti, Marshall Islands, Micronesia, Northern Mariana Islands, Palau, Panama, Puerto Rico, East Timor, Turks and Caicos Islands, United States, Virgin Islands
EUR:Euro:European Union, see eurozone
AED:United Arab Emirates dirham:United Arab Emirates
AFN:Afghani:Afghanistan
ALL:Lek:Albania
AMD:Armenian Dram:Armenia
ANG:Netherlands Antillian Guilder:Netherlands Antilles
AOA:Kwanza:Angola
ARS:Argentine Peso:Argentina
AUD:Australian Dollar:Australia, Australian Antarctic Territory, Christmas Island, Cocos (Keeling) Islands, Heard and McDonald Islands, Kiribati, Nauru, Norfolk Island, Tuvalu
AWG:Aruban Guilder:Aruba
AZN:Azerbaijanian Manat:Azerbaijan
BAM:Convertible Marks:Bosnia and Herzegovina
BBD:Barbados Dollar:Barbados
BDT:Bangladeshi Taka:Bangladesh
BGN:Bulgarian Lev:Bulgaria
BHD:Bahraini Dinar:Bahrain
BIF:Burundian Franc:Burundi
BMD:Bermudian Dollar (customarily known as Bermuda Dollar):Bermuda
BND:Brunei Dollar:Brunei
BOB:Boliviano:Bolivia
BOV:Bolivian Mvdol (Funds code):Bolivia
BRL:Brazilian Real:Brazil
BSD:Bahamian Dollar:Bahamas
BTN:Ngultrum:Bhutan
BWP:Pula:Botswana
BYR:Belarussian Ruble:Belarus
BZD:Belize Dollar:Belize
CAD:Canadian Dollar:Canada
CDF:Franc Congolais:Democratic Republic of Congo
CHE:WIR Euro (complementary currency):Switzerland
CHF:Swiss Franc:Switzerland, Liechtenstein
CHW:WIR Franc (complementary currency):Switzerland
CLF:Unidades de formento (Funds code):Chile
CLP:Chilean Peso:Chile
CNY:Yuan Renminbi:Mainland China
COP:Colombian Peso:Colombia
COU:Unidad de Valor Real:Colombia
CRC:Costa Rican Colon:Costa Rica
CUP:Cuban Peso:Cuba
CVE:Cape Verde Escudo:Cape Verde
CYP:Cyprus Pound:Cyprus
CZK:Czech Koruna:Czech Republic
DJF:Djibouti Franc:Djibouti
DKK:Danish Krone:Denmark, Faroe Islands, Greenland
DOP:Dominican Peso:Dominican Republic
DZD:Algerian Dinar:Algeria
EEK:Kroon:Estonia
EGP:Egyptian Pound:Egypt
ERN:Nakfa:Eritrea
ETB:Ethiopian Birr:Ethiopia
FJD:Fiji Dollar:Fiji
FKP:Falkland Islands Pound:Falkland Islands
GBP:Pound Sterling:United Kingdom
GEL:Lari:Georgia
GHS:Cedi:Ghana
GIP:Gibraltar pound:Gibraltar
GMD:Dalasi:Gambia
GNF:Guinea Franc:Guinea
GTQ:Quetzal:Guatemala
GYD:Guyana Dollar:Guyana
HKD:Hong Kong Dollar:Hong Kong Special Administrative Region
HNL:Lempira:Honduras
HRK:Croatian Kuna:Croatia
HTG:Haiti Gourde:Haiti
HUF:Forint:Hungary
IDR:Rupiah:Indonesia
ILS:New Israeli Shekel:Israel
INR:Indian Rupee:Bhutan, India
IQD:Iraqi Dinar:Iraq
IRR:Iranian Rial:Iran
ISK:Iceland Krona:Iceland
JMD:Jamaican Dollar:Jamaica
JOD:Jordanian Dinar:Jordan
JPY:Japanese yen:Japan
KES:Kenyan Shilling:Kenya
KGS:Som:Kyrgyzstan
KHR:Riel:Cambodia
KMF:Comoro Franc:Comoros
KPW:North Korean Won:North Korea
KRW:South Korean Won:South Korea
KWD:Kuwaiti Dinar:Kuwait
KYD:Cayman Islands Dollar:Cayman Islands
KZT:Tenge:Kazakhstan
LAK:Kip:Laos
LBP:Lebanese Pound:Lebanon
LKR:Sri Lanka Rupee:Sri Lanka
LRD:Liberian Dollar:Liberia
LSL:Loti:Lesotho
LTL:Lithuanian Litas:Lithuania
LVL:Latvian Lats:Latvia
LYD:Libyan Dinar:Libya
MAD:Moroccan Dirham:Morocco, Western Sahara
MDL:Moldovan Leu:Moldova
MGA:Malagasy Ariary:Madagascar
MKD:Denar:Former Yugoslav Republic of Macedonia
MMK:Kyat:Myanmar
MNT:Tugrik:Mongolia
MOP:Pataca:Macau Special Administrative Region
MRO:Ouguiya:Mauritania
MTL:Maltese Lira:Malta
MUR:Mauritius Rupee:Mauritius
MVR:Rufiyaa:Maldives
MWK:Kwacha:Malawi
MXN:Mexican Peso:Mexico
MXV:Mexican Unidad de Inversion (UDI) (Funds code):Mexico
MYR:Malaysian Ringgit:Malaysia
MZN:Metical:Mozambique
NAD:Namibian Dollar:Namibia
NGN:Naira:Nigeria
NIO:Cordoba Oro:Nicaragua
NOK:Norwegian Krone:Norway
NPR:Nepalese Rupee:Nepal
NZD:New Zealand Dollar:Cook Islands, New Zealand, Niue, Pitcairn, Tokelau
OMR:Rial Omani:Oman
PAB:Balboa:Panama
PEN:Nuevo Sol:Peru
PGK:Kina:Papua New Guinea
PHP:Philippine Peso:Philippines
PKR:Pakistan Rupee:Pakistan
PLN:Zloty:Poland
PYG:Guarani:Paraguay
QAR:Qatari Rial:Qatar
RON:Romanian New Leu:Romania
RSD:Serbian Dinar:Serbia
RWF:Rwanda Franc:Rwanda
SAR:Saudi Riyal:Saudi Arabia
SBD:Solomon Islands Dollar:Solomon Islands
SCR:Seychelles Rupee:Seychelles
SDG:Sudanese Pound:Sudan
SEK:Swedish Krona:Sweden
SGD:Singapore Dollar:Singapore
SHP:Saint Helena Pound:Saint Helena
SKK:Slovak Koruna:Slovakia
SLL:Leone:Sierra Leone
SOS:Somali Shilling:Somalia
SRD:Surinam Dollar:Suriname
STD:Dobra:São Tomé and Príncipe
SYP:Syrian Pound:Syria
SZL:Lilangeni:Swaziland
THB:Baht:Thailand
TJS:Somoni:Tajikistan
TMM:Manat:Turkmenistan
TND:Tunisian Dinar:Tunisia
TOP:Pa'anga:Tonga
TRY:New Turkish Lira:Turkey
TTD:Trinidad and Tobago Dollar:Trinidad and Tobago
TWD:New Taiwan Dollar:Taiwan and other islands that are under the effective control of the Republic of China (ROC)
TZS:Tanzanian Shilling:Tanzania
UAH:Hryvnia:Ukraine
UGX:Uganda Shilling:Uganda
USN::United States
USS::United States
UYU:Peso Uruguayo:Uruguay
UZS:Uzbekistan Som:Uzbekistan
VEB:Venezuelan bolívar:Venezuela
VND:Vietnamese đồng:Vietnam
VUV:Vatu:Vanuatu
WST:Samoan Tala:Samoa
XAF:CFA Franc BEAC:Cameroon, Central African Republic, Congo, Chad, Equatorial Guinea, Gabon
XAG:Silver (one Troy ounce):
XAU:Gold (one Troy ounce):
XBA:European Composite Unit (EURCO) (Bonds market unit):
XBB:European Monetary Unit (E.M.U.-6) (Bonds market unit):
XBC:European Unit of Account 9 (E.U.A.-9) (Bonds market unit):
XBD:European Unit of Account 17 (E.U.A.-17) (Bonds market unit):
XCD:East Caribbean Dollar:Anguilla, Antigua and Barbuda, Dominica, Grenada, Montserrat, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines
XDR:Special Drawing Rights:International Monetary Fund
XFO:Gold franc (special settlement currency):Bank for International Settlements
XFU:UIC franc (special settlement currency):International Union of Railways
XOF:CFA Franc BCEAO:Benin, Burkina Faso, Côte d'Ivoire, Guinea-Bissau, Mali, Niger, Senegal, Togo
XPD:Palladium (one Troy ounce):
XPF:CFP franc:French Polynesia, New Caledonia, Wallis and Futuna
XPT:Platinum (one Troy ounce):
XXX:No currency:
YER:Yemeni Rial:Yemen
ZAR:South African Rand:South Africa
ZMK:Kwacha:Zambia
ZWD:Zimbabwe Dollar:Zimbabwe
BTC:Bitcoin:World Wide Web
LTC:Litecoin:World Wide Web
